year,district,state,st_cen_code,dt_cen_code,censuscode,area_km,water,vegetation,builtup,agriculture,barren
1990,Delhi,NCT of Delhi,7,6,95,1503.97,13.23,42.56,381.26,812.69,254.64
1990,Baghpat,Uttar Pradesh,9,8,139,1328.79,1.47,8.14,37.08,1205.29,77.46
1990,Faridabad,Haryana,6,20,88,840.97,2.73,3.19,29.43,576.94,229.09
1990,Gautam Buddha Nagar,Uttar Pradesh,9,10,141,1409.2,2.93,10.42,18.71,1145.85,232.31
1990,Ghaziabad,Uttar Pradesh,9,9,140,1977.55,1.22,27.46,40.69,1711.32,198.66
1990,Gurgaon,Haryana,6,18,86,1237.25,0.54,9,31.23,921.37,275.19
1990,Jhajjar,Haryana,6,15,83,1937.9,4.59,3.65,36.37,1775.01,118.2
1990,Meerut,Uttar Pradesh,9,7,138,2612.99,4.83,78.43,58.67,2214.86,258.94
1990,Rohtak,Haryana,6,14,82,1720.41,1.57,1.88,53.18,1587.98,75.36
1990,Sonipat,Haryana,6,8,76,2157.98,6.71,5.18,70.35,2010.89,64.83
1995,Delhi,NCT of Delhi,7,6,95,1503.97,12.78,33.32,457.21,791.81,209.25
1995,Baghpat,Uttar Pradesh,9,8,139,1328.79,1.66,8.14,40.19,1211.63,67.81
1995,Faridabad,Haryana,6,20,88,840.97,2.19,3.93,36.32,671.61,127.34
1995,Gautam Buddha Nagar,Uttar Pradesh,9,10,141,1409.2,3.50,7.30,19.46,1255.77,124.19
1995,Ghaziabad,Uttar Pradesh,9,9,140,1977.55,2.03,21.57,52.51,1788.16,115.09
1995,Gurgaon,Haryana,6,18,86,1237.25,0.83,8.78,33.82,966.91,226.99
1995,Jhajjar,Haryana,6,15,83,1937.9,5.81,2.53,49.42,1799.57,80.49
1995,Meerut,Uttar Pradesh,9,7,138,2612.99,3.25,57.23,66.64,2354.82,133.78
1995,Rohtak,Haryana,6,14,82,1720.41,2.03,1.92,69.92,1571.76,74.34
1995,Sonipat,Haryana,6,8,76,2157.98,9.32,3.23,92.38,2019.78,33.25
2000,Delhi,NCT of Delhi,7,6,95,1503.97,10.87,98.82,554.26,579.92,260.51
2000,Baghpat,Uttar Pradesh,9,8,139,1328.79,2.35,15.44,50.31,1224.25,37.09
2000,Faridabad,Haryana,6,20,88,840.97,2.68,17.55,61.22,554.79,205.15
2000,Gautam Buddha Nagar,Uttar Pradesh,9,10,141,1409.2,4.49,23.14,70.60,1142.99,169.01
2000,Ghaziabad,Uttar Pradesh,9,9,140,1977.55,3.45,39.26,129.22,1658.76,148.65
2000,Gurgaon,Haryana,6,18,86,1237.25,1.12,20.67,72.93,867.97,274.63
2000,Jhajjar,Haryana,6,15,83,1937.9,2.46,19.64,72.86,1653.61,189.25
2000,Meerut,Uttar Pradesh,9,7,138,2612.99,7.24,66.28,118.17,2286.46,137.59
2000,Rohtak,Haryana,6,14,82,1720.41,1.92,3.87,68.69,1474.91,170.57
2000,Sonipat,Haryana,6,8,76,2157.98,4.20,6.44,84.64,1948.98,113.71
2005,Delhi,NCT of Delhi,7,6,95,1503.97,7.93,60.24,590.76,653.41,192.04
2005,Baghpat,Uttar Pradesh,9,8,139,1328.79,1.50,6.16,54.28,1248.35,19.14
2005,Faridabad,Haryana,6,20,88,840.97,3.13,9.09,113.08,604.64,111.45
2005,Gautam Buddha Nagar,Uttar Pradesh,9,10,141,1409.2,4.80,12.72,163.61,1168.63,60.47
2005,Ghaziabad,Uttar Pradesh,9,9,140,1977.55,4.90,31.59,185.63,1698.18,59.05
2005,Gurgaon,Haryana,6,18,86,1237.25,0.71,6.42,103.50,918.99,207.72
2005,Jhajjar,Haryana,6,15,83,1937.9,9.89,13.47,66.56,1771.40,76.51
2005,Meerut,Uttar Pradesh,9,7,138,2612.99,18.96,57.23,151.07,2280.31,108.15
2005,Rohtak,Haryana,6,14,82,1720.41,4.38,8.07,69.54,1619.44,18.53
2005,Sonipat,Haryana,6,8,76,2157.98,3.99,6.79,74.96,2031.54,40.68
2010,Delhi,NCT of Delhi,7,6,95,1503.97,9.28,177.21,663.21,539.79,114.88
2010,Baghpat,Uttar Pradesh,9,8,139,1328.79,1.14,12.35,53.06,1244.55,18.34
2010,Faridabad,Haryana,6,20,88,840.97,2.71,16.89,135.44,570.34,116.00
2010,Gautam Buddha Nagar,Uttar Pradesh,9,10,141,1409.2,3.89,35.02,244.26,1032.46,94.59
2010,Ghaziabad,Uttar Pradesh,9,9,140,1977.55,4.48,44.09,236.25,1654.46,40.07
2010,Gurgaon,Haryana,6,18,86,1237.25,1.85,40.45,132.04,887.94,175.05
2010,Jhajjar,Haryana,6,15,83,1937.9,10.16,76.87,84.50,1669.55,96.75
2010,Meerut,Uttar Pradesh,9,7,138,2612.99,18.78,52.30,161.41,2301.43,81.81
