"Period","From","To","km2","QtPixel","Interval"
"1990-1995","Water","Water",43.2288,12008,5
"1990-1995","Water","Vegetation",1.1664,324,5
"1990-1995","Water","Builtup",1.458,405,5
"1990-1995","Water","Crop",3.4632,962,5
"1990-1995","Water","Barren",7.2756,2021,5
"1990-1995","Vegetation","Water",8.1036,2251,5
"1990-1995","Vegetation","Vegetation",274.7196,76311,5
"1990-1995","Vegetation","Builtup",11.718,3255,5
"1990-1995","Vegetation","Crop",64.1412,17817,5
"1990-1995","Vegetation","Barren",11.9988,3333,5
"1990-1995","Builtup","Water",0.9288,258,5
"1990-1995","Builtup","Vegetation",15.3792,4272,5
"1990-1995","Builtup","Builtup",646.3008,179528,5
"1990-1995","Builtup","Crop",80.55,22375,5
"1990-1995","Builtup","Barren",36.4032,10112,5
"1990-1995","Crop","Water",9.2844,2579,5
"1990-1995","Crop","Vegetation",55.242,15345,5
"1990-1995","Crop","Builtup",93.6432,26012,5
"1990-1995","Crop","Crop",12165.5556,3379321,5
"1990-1995","Crop","Barren",803.808,223280,5
"1990-1995","Barren","Water",9.9792,2772,5
"1990-1995","Barren","Vegetation",21.5532,5987,5
"1990-1995","Barren","Builtup",78.0552,21682,5
"1990-1995","Barren","Crop",604.224,167840,5
"1990-1995","Barren","Barren",1668.4128,463448,5
"1995-2000","Water","Water",22.2084,6169,5
"1995-2000","Water","Vegetation",3.4776,966,5
"1995-2000","Water","Builtup",3.1104,864,5
"1995-2000","Water","Crop",17.6328,4898,5
"1995-2000","Water","Barren",25.0956,6971,5
"1995-2000","Vegetation","Water",3.5172,977,5
"1995-2000","Vegetation","Vegetation",142.3044,39529,5
"1995-2000","Vegetation","Builtup",46.7784,12994,5
"1995-2000","Vegetation","Crop",137.4264,38174,5
"1995-2000","Vegetation","Barren",38.034,10565,5
"1995-2000","Builtup","Water",2.1276,591,5
"1995-2000","Builtup","Vegetation",18.1404,5039,5
"1995-2000","Builtup","Builtup",726.4188,201783,5
"1995-2000","Builtup","Crop",40.8204,11339,5
"1995-2000","Builtup","Barren",43.668,12130,5
"1995-2000","Crop","Water",18.1116,5031,5
"1995-2000","Crop","Vegetation",89.2224,24784,5
"1995-2000","Crop","Builtup",347.2704,96464,5
"1995-2000","Crop","Crop",11782.0908,3272803,5
"1995-2000","Crop","Barren",681.2388,189233,5
"1995-2000","Barren","Water",18.0612,5017,5
"1995-2000","Barren","Vegetation",52.3656,14546,5
"1995-2000","Barren","Builtup",246.2544,68404,5
"1995-2000","Barren","Crop",1246.0392,346122,5
"1995-2000","Barren","Barren",965.178,268105,5
"2000-2005","Water","Water",30.6,8500,5
"2000-2005","Water","Vegetation",1.3572,377,5
"2000-2005","Water","Builtup",2.9628,823,5
