"","district","state","st_cen_cd","dt_cen_cd","censuscode","dt_area_km","ID","January","February","March","April","May","June","July","August","September","October","November","December"
"1","North Delhi","Delhi",7,2,"91",69.08,1,0.124030675915589,0.201091709398179,0.243821885351223,0.214650218235913,0.19202989172488,0.162450876216842,0.125647780307327,0.158148976957144,0.224214049561966,0.218060733213366,0.147895503276226,0.129521560799123
"2","New Delhi","Delhi",7,5,"94",38.5,2,0.145622265460073,0.201288784687421,0.259428065060581,0.2788043078085,0.257725927788103,0.216570320998874,0.15437520567648,0.199711625299401,0.285363904121181,0.304320260059954,0.22114018205035,0.180711555153775
"3","North West Delhi","Delhi",7,1,"90",443.09,3,0.203327253637092,0.32406803162692,0.334955894692272,0.205721458555593,0.17087843509958,0.153739946228065,0.138760684193035,0.197428386585132,0.287366416265295,0.27867854932875,0.195380504145516,0.198394058736227
"4","North East Delhi","Delhi",7,3,"92",62.52,4,0.0929747953942472,0.155960198814196,0.190753103551768,0.164079545350854,0.14511230731687,0.124401767809744,0.102810191265997,0.1296568723686,0.178794274570306,0.173731167291584,0.117306907080589,0.0994092961751766
"5","South West Delhi","Delhi",7,8,"97",434.52,5,0.200404824836206,0.294176736763686,0.296577555772842,0.218964400006858,0.187821210197735,0.165526862303199,0.147544584640608,0.198870286088208,0.276728625324689,0.288849346883267,0.24111378421743,0.235761173553109
"6","East Delhi","Delhi",7,4,"93",65.27,6,0.0810382637108869,0.128494887411766,0.173002534294605,0.17871597107255,0.165005513717333,0.139576432792341,0.106700494818901,0.130916654482671,0.18072607879571,0.177777544671126,0.122286291031436,0.0997976225431099
"7","South Delhi","Delhi",7,9,"98",253.77,7,0.156801111321816,0.200145935084543,0.246147464922564,0.24526828932817,0.219164427153319,0.193894434052496,0.162597317373087,0.211512676013175,0.298782762697231,0.324340892640316,0.24520074044703,0.203756487481205
"8","Central Delhi","Delhi",7,6,"95",15.1,8,0.0890450217129562,0.135203651353127,0.184973852436286,0.199522257957702,0.185124888261682,0.155146392380201,0.114125108749732,0.145152664926115,0.201736919440015,0.201239090169802,0.135428842329385,0.108403855738733
"9","West Delhi","Delhi",7,7,"96",122.12,9,0.111618680384014,0.173692989746976,0.201940612024618,0.182901973544266,0.16760112670126,0.14463968318211,0.11180017132595,0.141472682769197,0.201318495053436,0.202987460285344,0.147991075081063,0.132654235165364
"10","Baghpat","Uttar Pradesh",9,8,"139",1328.79,10,0.239944238582611,0.415635581298644,0.467669097771922,0.304476310361523,0.253037863613286,0.282322343227669,0.260390714343364,0.309391509669112,0.417555465243585,0.469303781433486,0.363565824063224,0.278171594765621
"11","Faridabad","Haryana",6,20,"88",840.97,11,0.272747895084943,0.40990340220265,0.387837011025186,0.212390691552582,0.176945357427491,0.182558677302731,0.165013705668155,0.247169728057508,0.357825652830611,0.336936433181588,0.209148866363567,0.229702644590751
"12","Gautam Buddha Nagar","Uttar Pradesh",9,10,"141",1409.2,12,0.258119204174717,0.433679573289254,0.426807256046209,0.219348146206358,0.173332912281711,0.175167242829728,0.161358790324958,0.243289170920126,0.361092684126424,0.340910596388232,0.200177050325916,0.204630618738878
"13","Ghaziabad","Uttar Pradesh",9,9,"140",1977.55,13,0.24966904494977,0.421502316119425,0.440800543190678,0.277681785841682,0.244137862465677,0.262342297306167,0.222398297606503,0.28342177210753,0.387756373504938,0.41735471449981,0.307465392511251,0.256636898580438
"14","Gurgaon","Haryana",6,18,"86",1237.25,14,0.301132275603198,0.423359447682509,0.369954940670462,0.211080014457004,0.178584390852444,0.164202858251046,0.167768154679791,0.242973095348705,0.313331387717402,0.296087077301554,0.244383945410891,0.302654563617915
"15","Jhajjar","Haryana",6,15,"83",1937.9,15,0.325041110714175,0.492149427521828,0.438189540585677,0.202729479819638,0.153183964598388,0.144062159971327,0.164972562795442,0.247399548505477,0.340469252571132,0.31612397490963,0.227019948685302,0.292712756968746
"16","Meerut","Uttar Pradesh",9,7,"138",2612.99,16,0.246488398793511,0.408324436771381,0.437596838402177,0.306201126144904,0.285704940439674,0.309025383970182,0.25476257157179,0.295617691063009,0.398969107369307,0.462664375061255,0.366217288322798,0.289476742754978
"17","Rohtak","Haryana",6,14,"82",1720.41,17,0.297826090842845,0.492431906316766,0.484235589555859,0.230012797739624,0.159171513312284,0.155121772914958,0.173906180506347,0.274719979380241,0.403353858181651,0.393448827030426,0.244320676489924,0.254802749096482
"18","Sonipat","Haryana",6,8,"76",2157.98,18,0.321308780454586,0.514283651700772,0.500739828272739,0.229329366343647,0.165946098798157,0.160290997628611,0.16457289262922,0.292676798731839,0.439288251813067,0.403744249317693,0.226514413797177,0.263072609293545
