year,dist,area_km,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5
2005,0-10,313.84,1779,11881,67233,2160,4152
2005,10-20,941.51,3496,15772,134062,52845,55445
2005,20-30,1569.18,1665,12074,77079,260371,84869
2005,30-40,2196.84,2139,7231,40913,488094,72076
2005,40-50,2824.48,1343,5498,28466,621074,44948
2005,50-60,3452.1,1967,1119,27402,664799,20344
2005,60-70,4079.69,2323,4348,31829,622676,19963
2005,70-80,4707.26,215,4920,13422,468922,9289
2005,80-90,5334.79,779,8555,8348,374913,15739
2005,90-100,5962.28,2305,8637,3401,147656,22905
2005,100-110,6589.72,1418,1483,647,49861,11867
