year,dist,zone_area,landuse,lc_area
1990,0-10,313.84,Water,8.51
1990,0-10,313.84,Vegetation,54.74
1990,0-10,313.84,Builtup,200.82
1990,0-10,313.84,Agriculture,33.78
1990,0-10,313.84,Barren,16.09
1990,10-20,941.51,Water,10.43
1990,10-20,941.51,Vegetation,56.52
1990,10-20,941.51,Builtup,191.94
1990,10-20,941.51,Agriculture,328.05
1990,10-20,941.51,Barren,354.89
1990,20-30,1569.18,Water,3.45
1990,20-30,1569.18,Vegetation,25.62
1990,20-30,1569.18,Builtup,96.32
1990,20-30,1569.18,Agriculture,1065.27
1990,20-30,1569.18,Barren,379.15
1990,30-40,2196.84,Water,5.03
1990,30-40,2196.84,Vegetation,25.44
1990,30-40,2196.84,Builtup,50.94
1990,30-40,2196.84,Agriculture,1684.28
1990,30-40,2196.84,Barren,431.94
1990,40-50,2523.16,Water,4.78
1990,40-50,2523.16,Vegetation,27.63
1990,40-50,2523.16,Builtup,53.42
1990,40-50,2523.16,Agriculture,2076.35
1990,40-50,2523.16,Barren,360.6
1990,50-60,2574.56,Water,2.46
1990,50-60,2574.56,Vegetation,19.49
1990,50-60,2574.56,Builtup,50.34
1990,50-60,2574.56,Agriculture,2333.28
1990,50-60,2574.56,Barren,169.03
1990,60-70,2449.42,Water,4.82
1990,60-70,2449.42,Vegetation,43.49
1990,60-70,2449.42,Builtup,63.27
1990,60-70,2449.42,Agriculture,2120.17
1990,60-70,2449.42,Barren,217.34
1990,70-80,1785.69,Water,0.33
1990,70-80,1785.69,Vegetation,29.94
1990,70-80,1785.69,Builtup,33.15
1990,70-80,1785.69,Agriculture,1593.48
1990,70-80,1785.69,Barren,128.25
1990,80-90,1467.42,Water,0.57
1990,80-90,1467.42,Vegetation,38.25
1990,80-90,1467.42,Builtup,25.71
1990,80-90,1467.42,Agriculture,1239.75
1990,80-90,1467.42,Barren,163.03
1990,90-100,664.3,Water,8.8
1990,90-100,664.3,Vegetation,44.14
1990,90-100,664.3,Builtup,10.63
1990,90-100,664.3,Agriculture,493.81
1990,90-100,664.3,Barren,106.38
1990,100-110,234.61,Water,7.46
1990,100-110,234.61,Vegetation,5.85
1990,100-110,234.61,Builtup,2.52
1990,100-110,234.61,Agriculture,160.3
1990,100-110,234.61,Barren,58.01
1995,0-10,313.84,Water,7.48
1995,0-10,313.84,Vegetation,58.09
1995,0-10,313.84,Builtup,207.03
1995,0-10,313.84,Agriculture,24.24
1995,0-10,313.84,Barren,17.1
1995,10-20,941.51,Water,11.47
1995,10-20,941.51,Vegetation,63.62
1995,10-20,941.51,Builtup,246.99
1995,10-20,941.51,Agriculture,239.05
1995,10-20,941.51,Barren,380.7
1995,20-30,1569.18,Water,4.38
1995,20-30,1569.18,Vegetation,30.93
1995,20-30,1569.18,Builtup,115.19
1995,20-30,1569.18,Agriculture,917.17
1995,20-30,1569.18,Barren,502.14
1995,30-40,2196.84,Water,8.33
1995,30-40,2196.84,Vegetation,26.75
1995,30-40,2196.84,Builtup,55.56
1995,30-40,2196.84,Agriculture,1711.21
1995,30-40,2196.84,Barren,395.79
1995,40-50,2523.16,Water,5.85
1995,40-50,2523.16,Vegetation,25.84
1995,40-50,2523.16,Builtup,49.74
1995,40-50,2523.16,Agriculture,2102.31
1995,40-50,2523.16,Barren,339.44
1995,50-60,2574.56,Water,4.33
1995,50-60,2574.56,Vegetation,18.78
1995,50-60,2574.56,Builtup,43.86
1995,50-60,2574.56,Agriculture,2278.35
1995,50-60,2574.56,Barren,229.12
1995,60-70,2449.42,Water,11.05
1995,60-70,2449.42,Vegetation,33.48
1995,60-70,2449.42,Builtup,56.2
1995,60-70,2449.42,Agriculture,2128.72
1995,60-70,2449.42,Barren,219.3
1995,70-80,1785.69,Water,0.59
1995,70-80,1785.69,Vegetation,23.25
1995,70-80,1785.69,Builtup,26.87
1995,70-80,1785.69,Agriculture,1610.2
1995,70-80,1785.69,Barren,124.33
1995,80-90,1467.42,Water,1.69
1995,80-90,1467.42,Vegetation,38.47
1995,80-90,1467.42,Builtup,18.93
1995,80-90,1467.42,Agriculture,1274.8
1995,80-90,1467.42,Barren,133.23
1995,90-100,664.3,Water,11.13
1995,90-100,664.3,Vegetation,43.99
1995,90-100,664.3,Builtup,9.34
1995,90-100,664.3,Agriculture,494.83
1995,90-100,664.3,Barren,104.35
1995,100-110,234.61,Water,5.29
1995,100-110,234.61,Vegetation,5.36
1995,100-110,234.61,Builtup,1.56
1995,100-110,234.61,Agriculture,139.83
1995,100-110,234.61,Barren,81.86
2000,0-10,313.84,Water,7.25
2000,0-10,313.84,Vegetation,49.76
2000,0-10,313.84,Builtup,226.7
2000,0-10,313.84,Agriculture,11.1
2000,0-10,313.84,Barren,19.13
2000,10-20,941.51,Water,12.44
2000,10-20,941.51,Vegetation,59.3
2000,10-20,941.51,Builtup,407.71
2000,10-20,941.51,Agriculture,203.68
2000,10-20,941.51,Barren,258.71
2000,20-30,1569.18,Water,5.72
2000,20-30,1569.18,Vegetation,38.35
2000,20-30,1569.18,Builtup,206.31
2000,20-30,1569.18,Agriculture,955.81
2000,20-30,1569.18,Barren,363.62
2000,30-40,2196.84,Water,8.27
2000,30-40,2196.84,Vegetation,28.16
2000,30-40,2196.84,Builtup,109.71
2000,30-40,2196.84,Agriculture,1743.64
2000,30-40,2196.84,Barren,307.86
2000,40-50,2523.16,Water,4.51
2000,40-50,2523.16,Vegetation,24.35
2000,40-50,2523.16,Builtup,91.53
2000,40-50,2523.16,Agriculture,2183.71
2000,40-50,2523.16,Barren,219.49
2000,50-60,2574.56,Water,4.51
2000,50-60,2574.56,Vegetation,13.21
2000,50-60,2574.56,Builtup,97.6
2000,50-60,2574.56,Agriculture,2348.52
2000,50-60,2574.56,Barren,111.31
2000,60-70,2449.42,Water,4.1
2000,60-70,2449.42,Vegetation,26.07
2000,60-70,2449.42,Builtup,120.61
2000,60-70,2449.42,Agriculture,2174.22
2000,60-70,2449.42,Barren,124.71
2000,70-80,1785.69,Water,0.8
2000,70-80,1785.69,Vegetation,12.01
2000,70-80,1785.69,Builtup,57.54
2000,70-80,1785.69,Agriculture,1616.92
2000,70-80,1785.69,Barren,98.65
2000,80-90,1467.42,Water,0.57
2000,80-90,1467.42,Vegetation,27.36
2000,80-90,1467.42,Builtup,37.09
2000,80-90,1467.42,Agriculture,1300.53
2000,80-90,1467.42,Barren,101.7
2000,90-100,664.3,Water,10.72
2000,90-100,664.3,Vegetation,21.99
2000,90-100,664.3,Builtup,13.24
2000,90-100,664.3,Agriculture,528.49
2000,90-100,664.3,Barren,89.21
2000,100-110,234.61,Water,5.36
2000,100-110,234.61,Vegetation,5.45
2000,100-110,234.61,Builtup,2.24
2000,100-110,234.61,Agriculture,161.63
2000,100-110,234.61,Barren,59.62
2005,0-10,313.84,Water,6.4
2005,0-10,313.84,Vegetation,42.77
2005,0-10,313.84,Builtup,242.04
2005,0-10,313.84,Agriculture,7.78
2005,0-10,313.84,Barren,14.95
2005,10-20,941.51,Water,12.59
2005,10-20,941.51,Vegetation,56.78
2005,10-20,941.51,Builtup,482.62
2005,10-20,941.51,Agriculture,190.24
2005,10-20,941.51,Barren,199.6
2005,20-30,1569.18,Water,5.99
2005,20-30,1569.18,Vegetation,43.47
2005,20-30,1569.18,Builtup,277.48
2005,20-30,1569.18,Agriculture,937.34
2005,20-30,1569.18,Barren,305.53
2005,30-40,2196.84,Water,7.7
2005,30-40,2196.84,Vegetation,26.03
2005,30-40,2196.84,Builtup,147.29
2005,30-40,2196.84,Agriculture,1757.14
2005,30-40,2196.84,Barren,259.47
2005,40-50,2523.16,Water,4.83
2005,40-50,2523.16,Vegetation,19.79
2005,40-50,2523.16,Builtup,102.46
2005,40-50,2523.16,Agriculture,2234.85
2005,40-50,2523.16,Barren,161.49
2005,50-60,2574.56,Water,7.08
2005,50-60,2574.56,Vegetation,4.03
2005,50-60,2574.56,Builtup,98.61
2005,50-60,2574.56,Agriculture,2392.11
2005,50-60,2574.56,Barren,73.22
2005,60-70,2449.42,Water,8.34
2005,60-70,2449.42,Vegetation,15.65
2005,60-70,2449.42,Builtup,114.56
2005,60-70,2449.42,Agriculture,2239.25
2005,60-70,2449.42,Barren,71.83
2005,70-80,1785.69,Water,0.77
2005,70-80,1785.69,Vegetation,17.71
2005,70-80,1785.69,Builtup,48.3
2005,70-80,1785.69,Agriculture,1685.81
2005,70-80,1785.69,Barren,33.42
2005,80-90,1467.42,Water,2.8
2005,80-90,1467.42,Vegetation,30.8
2005,80-90,1467.42,Builtup,30.03
2005,80-90,1467.42,Agriculture,1347.47
2005,80-90,1467.42,Barren,56.6
2005,90-100,664.3,Water,8.28
2005,90-100,664.3,Vegetation,31.07
2005,90-100,664.3,Builtup,12.24
2005,90-100,664.3,Agriculture,529.64
2005,90-100,664.3,Barren,82.27
2005,100-110,234.61,Water,5.1
2005,100-110,234.61,Vegetation,5.33
2005,100-110,234.61,Builtup,2.33
2005,100-110,234.61,Agriculture,178.88
2005,100-110,234.61,Barren,42.67
2010,0-10,313.84,Water,6.61
2010,0-10,313.84,Vegetation,36.14
2010,0-10,313.84,Builtup,249.75
2010,0-10,313.84,Agriculture,16.17
2010,0-10,313.84,Barren,5.28
2010,10-20,941.51,Water,10.75
2010,10-20,941.51,Vegetation,44.73
2010,10-20,941.51,Builtup,533.93
2010,10-20,941.51,Agriculture,174.87
2010,10-20,941.51,Barren,177.55
2010,20-30,1569.18,Water,4.59
2010,20-30,1569.18,Vegetation,21.21
2010,20-30,1569.18,Builtup,346.4
2010,20-30,1569.18,Agriculture,873.97
2010,20-30,1569.18,Barren,323.64
2010,30-40,2196.84,Water,8.38
2010,30-40,2196.84,Vegetation,15.92
2010,30-40,2196.84,Builtup,193.02
2010,30-40,2196.84,Agriculture,1700.31
2010,30-40,2196.84,Barren,280
2010,40-50,2523.16,Water,4.04
2010,40-50,2523.16,Vegetation,14.46
2010,40-50,2523.16,Builtup,111.39
2010,40-50,2523.16,Agriculture,2208.23
2010,40-50,2523.16,Barren,185.46
2010,50-60,2574.56,Water,2.25
2010,50-60,2574.56,Vegetation,4.36
2010,50-60,2574.56,Builtup,105.12
2010,50-60,2574.56,Agriculture,2397.71
2010,50-60,2574.56,Barren,65.81
2010,60-70,2449.42,Water,3.93
2010,60-70,2449.42,Vegetation,8.94
2010,60-70,2449.42,Builtup,110.62
2010,60-70,2449.42,Agriculture,2251.31
2010,60-70,2449.42,Barren,75.22
2010,70-80,1785.69,Water,0.89
2010,70-80,1785.69,Vegetation,2.64
2010,70-80,1785.69,Builtup,42.91
2010,70-80,1785.69,Agriculture,1700.42
2010,70-80,1785.69,Barren,39.29
2010,80-90,1467.42,Water,2.22
2010,80-90,1467.42,Vegetation,6.22
2010,80-90,1467.42,Builtup,25.26
2010,80-90,1467.42,Agriculture,1374.12
2010,80-90,1467.42,Barren,60
2010,90-100,664.3,Water,15.71
2010,90-100,664.3,Vegetation,18.96
2010,90-100,664.3,Builtup,8.39
2010,90-100,664.3,Agriculture,558.33
2010,90-100,664.3,Barren,62.89
2010,100-110,234.61,Water,8.14
2010,100-110,234.61,Vegetation,2.59
2010,100-110,234.61,Builtup,1.52
2010,100-110,234.61,Agriculture,182.7
2010,100-110,234.61,Barren,39.37
2015,0-10,313.84,Water,6.76
2015,0-10,313.84,Vegetation,39.64
2015,0-10,313.84,Builtup,253.26
2015,0-10,313.84,Agriculture,10.27
2015,0-10,313.84,Barren,3.99
2015,10-20,941.51,Water,10.99
2015,10-20,941.51,Vegetation,53.49
2015,10-20,941.51,Builtup,634.8
2015,10-20,941.51,Agriculture,116.59
2015,10-20,941.51,Barren,125.96
2015,20-30,1569.18,Water,5.01
2015,20-30,1569.18,Vegetation,39.24
2015,20-30,1569.18,Builtup,492.1
2015,20-30,1569.18,Agriculture,744.57
2015,20-30,1569.18,Barren,288.88
2015,30-40,2196.84,Water,9.1
2015,30-40,2196.84,Vegetation,28.51
2015,30-40,2196.84,Builtup,316.44
2015,30-40,2196.84,Agriculture,1595.35
2015,30-40,2196.84,Barren,248.23
2015,40-50,2523.16,Water,4.1
2015,40-50,2523.16,Vegetation,28.65
2015,40-50,2523.16,Builtup,197.43
2015,40-50,2523.16,Agriculture,2108.79
2015,40-50,2523.16,Barren,184.7
2015,50-60,2574.56,Water,3.08
2015,50-60,2574.56,Vegetation,18.82
2015,50-60,2574.56,Builtup,182.66
2015,50-60,2574.56,Agriculture,2316.27
2015,50-60,2574.56,Barren,54.41
2015,60-70,2449.42,Water,4.88
2015,60-70,2449.42,Vegetation,21.1
2015,60-70,2449.42,Builtup,194.34
2015,60-70,2449.42,Agriculture,2189.79
2015,60-70,2449.42,Barren,39.7
2015,70-80,1785.69,Water,1.6
2015,70-80,1785.69,Vegetation,28.36
2015,70-80,1785.69,Builtup,85.47
2015,70-80,1785.69,Agriculture,1650.37
2015,70-80,1785.69,Barren,20.15
2015,80-90,1467.42,Water,5.82
2015,80-90,1467.42,Vegetation,16.05
2015,80-90,1467.42,Builtup,61.77
