State,censuscode,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
6,76,Sonipat,Total,277726,1450001,781299,668702,188262,104693,83569,998316,589881,408435,451685,191418,260267,523179,391085,132094,396763,326530,70233,110262,92673,17589,54040,41304,12736,12405,9321,3084,220056,183232,36824,126416,64555,61861,32082,10438,21644,47693,25615,22078,5779,2381,3398,40862,26121,14741,101389,52104,49285,24938,7859,17079,38759,21290,17469,4618,1846,2772,33074,21109,11965,25027,12451,12576,7144,2579,4565,8934,4325,4609,1161,535,626,7788,5012,2776,926822,390214,536608
6,82,Rohtak,Total,206988,1061204,568479,492725,129330,71041,58289,747582,436025,311557,313622,132454,181168,345967,272646,73321,288949,238995,49954,80456,67251,13205,20616,16444,4172,6353,4495,1858,181524,150805,30719,57018,33651,23367,15276,5662,9614,15952,10161,5791,2168,1053,1115,23622,16775,6847,47959,28132,19827,12324,4421,7903,13354,8503,4851,1835,853,982,20446,14355,6091,9059,5519,3540,2952,1241,1711,2598,1658,940,333,200,133,3176,2420,756,715237,295833,419404
6,83,Jhajjar,Total,185334,958405,514667,443738,120051,67380,52671,676091,399480,276611,282314,115187,167127,326534,250020,76514,246457,205882,40575,86313,71120,15193,19433,15691,3742,6520,5230,1290,134191,113841,20350,80077,44138,35939,26076,10171,15905,25412,15485,9927,2734,1386,1348,25855,17096,8759,64662,36999,27663,19139,7983,11156,20582,13013,7569,2294,1160,1134,22647,14843,7804,15415,7139,8276,6937,2188,4749,4830,2472,2358,440,226,214,3208,2253,955,631871,264647,367224
6,86,Gurgaon,Total,326428,1514432,816690,697742,202602,110705,91897,1111116,638666,472450,403316,178024,225292,544716,432456,112260,487441,400386,87055,44429,38219,6210,15725,12607,3118,16002,12774,3228,411285,336786,74499,57275,32070,25205,11617,3623,7994,11372,6506,4866,2226,990,1236,32060,20951,11109,46625,25861,20764,9717,2970,6747,9020,5309,3711,1784,827,957,26104,16755,9349,10650,6209,4441,1900,653,1247,2352,1197,1155,442,163,279,5956,4196,1760,969716,384234,585482
6,88,Faridabad,Total,358919,1809733,966110,843623,251955,136679,115276,1272739,734940,537799,536994,231170,305824,579229,476933,102296,495316,422503,72813,23654,20461,3193,19382,16013,3369,27869,23106,4763,424411,362923,61488,83913,54430,29483,4051,2372,1679,9906,5994,3912,4417,2444,1973,65539,43620,21919,73206,46785,26421,3509,2059,1450,8227,5032,3195,3650,1922,1728,57820,37772,20048,10707,7645,3062,542,313,229,1679,962,717,767,522,245,7719,5848,1871,1230504,489177,741327
7,90,North West,Total,736253,3656539,1960922,1695617,449894,241169,208725,2707855,1541952,1165903,948684,418970,529714,1188545,1022419,166126,1135126,983392,151734,10127,8886,1241,10553,8501,2052,33767,29518,4249,1080679,936487,144192,53419,39027,14392,1306,764,542,2736,1994,742,2129,1137,992,47248,35132,12116,43401,31564,11837,1179,694,485,2158,1597,561,1655,889,766,38409,28384,10025,10018,7463,2555,127,70,57,578,397,181,474,248,226,8839,6748,2091,2467994,938503,1529491
7,91,North,Total,180044,887978,475002,412976,103304,55155,48149,681517,381615,299902,206461,93387,113074,296446,257575,38871,283583,248547,35036,1967,1585,382,1493,1136,357,10403,9188,1215,269720,236638,33082,12863,9028,3835,220,126,94,298,202,96,625,288,337,11720,8412,3308,10420,7281,3139,204,114,90,238,166,72,511,239,272,9467,6762,2705,2443,1747,696,16,12,4,60,36,24,114,49,65,2253,1650,603,591532,217427,374105
7,92,North East,Total,406125,2241624,1188425,1053199,301947,160583,141364,1611588,912481,699107,630036,275944,354092,661386,594353,67033,622443,566028,56415,1738,1558,180,1893,1662,231,27587,24138,3449,591225,538670,52555,38943,28325,10618,497,328,169,513,427,86,3151,1498,1653,34782,26072,8710,33082,24346,8736,469,311,158,435,358,77,2461,1253,1208,29717,22424,7293,5861,3979,1882,28,17,11,78,69,9,690,245,445,5065,3648,1417,1580238,594072,986166
7,93,East,Total,358937,1709346,907500,801846,194357,103902,90455,1352998,748382,604616,356348,159118,197230,579692,486951,92741,555026,469593,85433,805,651,154,2841,2096,745,18432,16163,2269,532948,450683,82265,24666,17358,7308,351,183,168,253,183,70,1109,598,511,22953,16394,6559,21006,14717,6289,335,173,162,218,153,65,874,489,385,19579,13902,5677,3660,2641,1019,16,10,6,35,30,5,235,109,126,3374,2492,882,1129654,420549,709105
7,94,New Delhi,Total,33208,142004,77942,64062,12760,6738,6022,114179,65678,48501,27825,12264,15561,59541,46940,12601,56471,44916,11555,80,59,21,223,168,55,962,689,273,55206,44000,11206,3070,2024,1046,41,20,21,52,30,22,68,26,42,2909,1948,961,2534,1617,917,38,19,19,39,20,19,60,20,40,2397,1558,839,536,407,129,3,1,2,13,10,3,8,6,2,512,390,122,82463,31002,51461
7,95,Central,Total,119639,582320,307821,274499,62739,32928,29811,442360,240518,201842,139960,67303,72657,207374,177621,29753,195978,169963,26015,463,315,148,511,406,105,10342,9000,1342,184662,160242,24420,11396,7658,3738,134,65,69,90,59,31,560,317,243,10612,7217,3395,9938,6636,3302,134,65,69,78,55,23,459,278,181,9267,6238,3029,1458,1022,436,0,0,0,12,4,8,101,39,62,1345,979,366,374946,130200,244746
7,96,West,Total,533221,2543243,1356240,1187003,288421,154088,134333,1961179,1093933,867246,582064,262307,319757,874320,732598,141722,839621,708262,131359,2433,2093,340,3725,3105,620,27623,23909,3714,805840,679155,126685,34699,24336,10363,519,273,246,633,421,212,1399,680,719,32148,22962,9186,28535,19762,8773,500,264,236,541,344,197,1139,556,583,26355,18598,7757,6164,4574,1590,19,9,10,92,77,15,260,124,136,5793,4364,1429,1668923,623642,1045281
7,97,South West,Total,494439,2292958,1246046,1046912,267989,145285,122704,1787689,1025261,762428,505269,220785,284484,795352,667977,127375,749995,636474,113521,7832,7089,743,5277,4465,812,16956,13830,3126,719930,611090,108840,45357,31503,13854,1901,1051,850,2476,1696,780,1658,882,776,39322,27874,11448,38963,26901,12062,1769,970,799,1895,1275,620,1326,721,605,33973,23935,10038,6394,4602,1792,132,81,51,581,421,160,332,161,171,5349,3939,1410,1497606,578069,919537
7,98,South,Total,574133,2731929,1467428,1264501,331043,175592,155451,2078402,1185036,893366,653527,282392,371135,924393,775592,148801,869086,735535,133551,2314,1989,325,4958,4093,865,23054,19634,3420,838760,709819,128941,55307,40057,15250,670,423,247,950,708,242,2027,1263,764,51660,37663,13997,47371,34105,13266,639,401,238,828,610,218,1642,1023,619,44262,32071,12191,7936,5952,1984,31,22,9,122,98,24,385,240,145,7398,5592,1806,1807536,691836,1115700
9,138,Meerut,Total,579110,3443689,1825743,1617946,503719,272034,231685,2141488,1254520,886968,1302201,571223,730978,1090539,898810,191729,890810,775053,115757,175944,158291,17653,112247,95206,17041,48232,37424,10808,554387,484132,70255,199729,123757,75972,20124,9253,10871,41748,26420,15328,14864,7024,7840,122993,81060,41933,170636,106629,64007,15976,7493,8483,35363,22904,12459,11541,5568,5973,107756,70664,37092,29093,17128,11965,4148,1760,2388,6385,3516,2869,3323,1456,1867,15237,10396,4841,2353150,926933,1426217
9,139,Baghpat,Total,209916,1303048,700070,602978,194979,105924,89055,797970,489858,308112,505078,210212,294866,416695,342604,74091,334519,292657,41862,112453,103167,9286,49442,42300,7142,13958,9807,4151,158666,137383,21283,82176,49947,32229,12265,4814,7451,25058,15695,9363,6389,2891,3498,38464,26547,11917,69570,43255,26315,9208,3627,5581,21482,13853,7629,5650,2556,3094,33230,23219,10011,12606,6692,5914,3057,1187,1870,3576,1842,1734,739,335,404,5234,3328,1906,886353,357466,528887
9,140,Ghaziabad,Total,850676,4681645,2488834,2192811,681231,368162,313069,3123264,1811397,1311867,1558381,677437,880944,1520538,1231615,288923,1252911,1071029,181882,139829,124521,15308,83227,69650,13577,63604,48277,15327,966251,828581,137670,267627,160586,107041,19039,9303,9736,40453,24449,16004,20068,8625,11443,188067,118209,69858,233423,140595,92828,15767,7809,7958,33768,20713,13055,16029,7025,9004,167859,105048,62811,34204,19991,14213,3272,1494,1778,6685,3736,2949,4039,1600,2439,20208,13161,7047,3161107,1257219,1903888
9,141,Gautam Buddha Nagar,Total,327090,1648115,890214,757901,246598,133835,112763,1122947,666065,456882,525168,224149,301019,569109,443384,125725,458492,377875,80617,60899,53119,7780,27618,22445,5173,26065,17644,8421,343910,284667,59243,110617,65509,45108,11769,5684,6085,21227,13053,8174,9335,4134,5201,68286,42638,25648,95306,57093,38213,9551,4772,4779,17770,11150,6620,7564,3358,4206,60421,37813,22608,15311,8416,6895,2218,912,1306,3457,1903,1554,1771,776,995,7865,4825,3040,1079006,446830,632176
