district,state,st_cen_cd,dt_cen_cd,censuscode,dt_area_km,rurPop2011,urbPop2011,totPop2011
Sonipat,Haryana,6,8,76,2157.98,996637,453364,1450001
Rohtak,Haryana,6,14,82,1720.41,615040,446164,1061204
Jhajjar,Haryana,6,15,83,1937.9,715066,243339,958405
Gurgaon,Haryana,6,18,86,1237.25,472179,1042253,1514432
Faridabad,Haryana,6,20,88,840.97,370878,1438855,1809733
North West Delhi,Delhi,7,1,90,443.09,213950,3442589,3656539
North Delhi,Delhi,7,2,91,69.08,17746,870232,887978
North East Delhi,Delhi,7,3,92,62.52,21527,2220097,2241624
East Delhi,Delhi,7,4,93,65.27,3530,1705816,1709346
New Delhi,Delhi,7,5,94,38.5,0,142004,142004
Central Delhi,Delhi,7,6,95,15.1,0,582320,582320
West Delhi,Delhi,7,7,96,122.12,6420,2536823,2543243
South West Delhi,Delhi,7,8,97,434.52,143676,2149282,2292958
South Delhi,Delhi,7,9,98,253.77,12193,2719736,2731929
Meerut,Uttar Pradesh,9,7,138,2612.99,1684507,1759182,3443689
Baghpat,Uttar Pradesh,9,8,139,1328.79,1028023,275025,1303048
Ghaziabad,Uttar Pradesh,9,9,140,1977.55,1519098,3162547,4681645
Gautam Buddha Nagar,Uttar Pradesh,9,10,141,1409.2,673806,974309,1648115
