"","district","state","st_cen_cd","dt_cen_cd","censuscode","dt_area_km","ID","January","February","March","April","May","June","July","August","September","October","November","December"
"1","North Delhi","Delhi",7,2,"91",69.08,1,1.03224471442877,3.65124592855069,2.64185248257588,0.242426135559838,0.0473832656994635,0.169571523044817,0.648364674508131,1.84859736099606,2.44097427238299,0.901910447650826,0.466663523173548,0.385607442416366
"2","New Delhi","Delhi",7,5,"94",38.5,2,0.0939476815222272,0.243772315935627,0.333483475942101,0.112006339028973,0.0264201495592082,0.0735704287315523,0.225399457499457,0.481768616302997,0.714523225391585,0.319479337973461,0.184278986967437,0.0849668145293566
"3","North West Delhi","Delhi",7,1,"90",443.09,3,6.92044551653487,22.4660531894927,15.6253433318925,1.03008346246865,0.173670400849047,0.900641184019409,3.03279656316666,10.5872092099739,16.9671958887725,5.49119127156508,2.98620233933811,3.48933584484947
"4","North East Delhi","Delhi",7,3,"92",62.52,4,0.603139570892618,2.01636085493709,1.51240999010422,0.15069706515563,0.0311572943430593,0.113587641728706,0.456100803015511,1.22555433493733,1.32084747704319,0.517730295974534,0.247665441040961,0.230625927255775
"5","South West Delhi","Delhi",7,8,"97",434.52,5,7.12378085026542,17.4223421492642,10.8183384735338,1.03644953652897,0.17162524437843,0.889449525363491,3.35914802042453,10.026080197849,13.9981372574124,4.9956250380983,4.8055874969316,5.55399749067782
"6","East Delhi","Delhi",7,4,"93",65.27,6,0.150286113255288,0.343223355646758,0.356923073610313,0.121536994787355,0.0338032135653978,0.0909784573657944,0.303436473104898,0.576565142097941,0.718192696765349,0.316393863160934,0.212709604431497,0.115917357326406
"7","South Delhi","Delhi",7,9,"98",253.77,7,1.92825342910328,3.92382181513125,4.6606285266177,1.35872611966074,0.287239586920538,1.28219976145055,3.87312389405949,10.3848879045917,16.5753466755596,7.06562181318397,4.17456459361499,2.0745971940057
"8","Central Delhi","Delhi",7,6,"95",15.1,8,0.183655096209401,0.466797983481891,0.517225721255496,0.185304866259888,0.0506188632955332,0.118702877820237,0.409474885017521,0.918641072123424,1.20417925871474,0.452149623563953,0.287059116226055,0.127220780335045
"9","West Delhi","Delhi",7,7,"96",122.12,9,1.62236395384683,4.38214673818063,3.1854481139097,0.478384760316289,0.101841523333713,0.36280088252246,1.35302451205392,2.86233565303465,3.72495720619646,1.47235711543953,1.23953259980935,1.2118404401004
"10","Baghpat","Uttar Pradesh",9,8,"139",1328.79,10,4.78853770568429,26.5927405955494,33.6308731708809,3.89275063689429,0.776784420021913,4.66803523617669,8.46478015724556,24.6986417194839,50.5647928713832,22.2442420344209,11.4868542137524,6.01690379313612
"11","Faridabad","Haryana",6,20,"88",840.97,11,11.6053588017946,39.767177840897,26.1943287118038,1.24009679839209,0.28275286234915,1.90741275661193,4.13314100665203,20.4249115588979,36.8187438410306,11.126772340101,4.66741183959907,4.80680380300375
"12","Gautam Buddha Nagar","Uttar Pradesh",9,10,"141",1409.2,12,10.2354534007663,42.7729059763437,31.4464172010695,1.36666568115913,0.277831054181033,1.72816657358499,3.46647645068346,19.1858145836416,40.178906173348,12.1884937664213,4.57177711883828,3.86562612289558
"13","Ghaziabad","Uttar Pradesh",9,9,"140",1977.55,13,7.01008290970111,29.9677461503048,29.0806716926747,2.70214374054152,0.720708249395445,4.18069479703575,6.43530019484803,21.9011898258411,43.4284720582931,16.8305418393849,7.48362472604642,4.70519950492578
"14","Gurgaon","Haryana",6,18,"86",1237.25,14,15.3692496406609,37.6470284704647,21.7333714972214,1.51117091874421,0.253186854076553,1.80717434122952,5.84682935237213,18.3625188004502,25.7424318162991,7.75977276979336,5.83285819905875,8.75317505343591
"15","Jhajjar","Haryana",6,15,"83",1937.9,15,18.2115056763898,51.9633743170327,32.2356390035705,1.40625467384849,0.164090970095895,1.03204634564774,5.14785818125192,19.961378058134,31.6468798029722,9.77332166638995,5.06046239205736,8.5938180919371
"16","Meerut","Uttar Pradesh",9,7,"138",2612.99,16,6.83203562696674,26.323622082856,28.7372634133537,3.68950114150677,1.05721230861377,5.36753731369698,8.75832110061855,24.7639657236196,48.1655911835817,21.4949733688861,9.20728890145292,5.62774020500177
"17","Rohtak","Haryana",6,14,"82",1720.41,17,12.6423089798263,52.3798410128109,42.4442230964501,2.1779690820714,0.187523898807383,0.955065466024178,5.44969899316608,23.3182003657922,40.4376927687141,15.1532300633862,5.29292819471926,5.2618231326456
"18","Sonipat","Haryana",6,8,"76",2157.98,18,15.7485663309619,60.2437076120532,44.7635192429507,1.9719241391026,0.230555930785458,0.996031804501804,5.02348341889847,26.9472667577773,49.6397037281999,16.2106553793771,4.89217367680762,6.38336915903863
