"","district","state","st_cen_cd","dt_cen_cd","censuscode","dt_area_km","ID","January","February","March","April","May","June","July","August","September","October","November","December"
"1","North Delhi","Delhi",7,2,"91",69.08,1,0.434641650420824,1.00251006153055,0.651128291153576,0.0603954365245804,0.0122605573899216,0.0446621658628824,0.363316339314226,0.752924693923641,0.713023263925995,0.289093840146909,0.156766987875072,0.149026335131549
"2","New Delhi","Delhi",7,5,"94",38.5,2,0.0372601586309584,0.0685176357718294,0.0769903054551066,0.0281079317408879,0.0065454511465789,0.0180488357959883,0.107979526784098,0.196870041332029,0.199530069825243,0.101581452765792,0.0605142853000621,0.0335220969611187
"3","North West Delhi","Delhi",7,1,"90",443.09,3,2.87648195193528,6.52428756929692,3.9387536411238,0.265957567525067,0.0468263072610177,0.318322978729112,1.91878817974043,5.32190215157264,5.03403283805504,1.83668505181648,0.970344357605478,1.30559456166962
"4","North East Delhi","Delhi",7,3,"92",62.52,4,0.239655935645738,0.551689954732045,0.37015734062659,0.0371167949444191,0.0080536847909823,0.0334602311364431,0.232740470363745,0.461098111297439,0.393317415724797,0.166013524530357,0.0879119229517518,0.0878778954814462
"5","South West Delhi","Delhi",7,8,"97",434.52,5,2.63946060684424,5.01251357286357,2.68462630963275,0.262997328143099,0.0447040774616579,0.309017070213522,1.7283827740207,4.8588807154627,4.15585993515499,1.63279099187409,1.51747733062551,1.8242661370204
"6","East Delhi","Delhi",7,4,"93",65.27,6,0.0515681979692976,0.09111396213293,0.0819667214533104,0.0307562475133163,0.00867609843521197,0.0238353953581301,0.134983817529255,0.224844499714444,0.205293639172458,0.100281379481166,0.0673094272029942,0.0448662109283993
"7","South Delhi","Delhi",7,9,"98",253.77,7,0.805039949798276,1.19214986994435,1.10448947927341,0.356706517024355,0.0763418907078023,0.388431757408826,2.0270019139509,4.77785861725418,4.87435980361021,2.30101655345862,1.37419822154135,0.828637090230746
"8","Central Delhi","Delhi",7,6,"95",15.1,8,0.0758944727281379,0.12470112852149,0.118823949493117,0.0448507882750391,0.0127324816137125,0.0319146555689806,0.202458810351331,0.424301713696175,0.351096251930772,0.144765048161276,0.08768618018267,0.0632808180998992
"9","West Delhi","Delhi",7,7,"96",122.12,9,0.627075791763868,1.28078980450426,0.785311097457131,0.119894511502147,0.0253213948631488,0.112109674105068,0.687458319578498,1.35118329367986,1.13085880333176,0.476398873681443,0.393671951188188,0.42888851379723
"10","Baghpat","Uttar Pradesh",9,8,"139",1328.79,10,2.71660102491755,9.51432348437627,8.51922734548303,1.08459918378772,0.204015236021028,1.41513163493087,5.90170663442862,12.63413228831,14.5306341839891,7.62451490707058,4.28447189686947,2.44104754660831
"11","Faridabad","Haryana",6,20,"88",840.97,11,4.89196438965303,11.3207042199635,6.65156044761208,0.327905510299512,0.0852248310964375,0.590286690124282,2.64057388163594,9.91191048546676,10.8106840168307,3.65524402266826,1.46778673363461,1.91955516741876
"12","Gautam Buddha Nagar","Uttar Pradesh",9,10,"141",1409.2,12,4.58122267913161,12.5891000934245,8.04534021992321,0.363619532340044,0.0893701876189532,0.587706576004815,2.42483053981951,10.1733235350929,11.8105072621947,4.04374739817699,1.45402645194344,1.6515999547591
"13","Ghaziabad","Uttar Pradesh",9,9,"140",1977.55,13,3.61136543492348,9.69829858813266,7.27716223240237,0.73138613920503,0.195154194486333,1.29615164283996,4.67032963371104,11.7372711023669,12.8863331833377,5.77121921637097,2.89154996745405,2.01761545352872
"14","Gurgaon","Haryana",6,18,"86",1237.25,14,5.89115185798799,10.6859862967365,5.49804597697594,0.396842534125418,0.0662441671242887,0.567747436186816,3.21682793326536,9.31229465831175,7.73742083369785,2.5192048144972,1.83686589835157,3.22150352141573
"15","Jhajjar","Haryana",6,15,"83",1937.9,15,7.16809914550409,14.6300287271752,8.06515433691172,0.360343646741532,0.0443182560727836,0.385283421205649,2.83516930481606,9.76589731038466,8.86597382109444,3.20275780560527,1.60115152263938,3.06410057562708
"16","Meerut","Uttar Pradesh",9,7,"138",2612.99,16,3.4947410083337,8.9724141174455,7.19691187342115,1.01367104380073,0.278002700645421,1.64706408862922,6.65200331707376,12.7249857500342,14.385132063835,7.58621267925414,3.86629004657518,2.48046424883754
"17","Rohtak","Haryana",6,14,"82",1720.41,17,5.73090704562224,15.0508132097034,10.528933717142,0.543382487638626,0.0476420478828005,0.341568575031252,3.07293001400966,10.7446756878639,11.2260772898139,4.97291097632629,1.77105708258283,2.12196184251387
"18","Sonipat","Haryana",6,8,"76",2157.98,18,7.18333066786912,17.0851059188323,11.3187875029971,0.49813868866387,0.0620262381226407,0.396521520271514,3.1380051067416,12.4358622791343,13.9386178519877,5.40385340848123,1.54613749675256,2.49180222326156
