"state","LC","2020","2025","2030","2035","2040"
"Delhi",1,15.2892,14.9292,14.9292,13.068,15.5736
"Delhi",2,59.652,92.3904,80.2152,64.6236,64.6236
"Delhi",3,880.4664,1012.986,1064.5344,1142.6688,1201.0644
"Delhi",4,387.1944,271.2132,246.9744,180.1764,129.3588
"Delhi",5,161.7768,112.86,97.7256,103.842,93.7584
"Haryana",1,21.1788,21.5928,21.5928,20.2284,21.6648
"Haryana",2,26.2152,62.676,62.0028,51.2064,51.2064
"Haryana",3,1159.8012,1021.3632,1141.6572,1391.0544,1886.184
"Haryana",4,6000.2568,6292.0512,6229.9836,5962.41,5522.1048
"Haryana",5,684.3996,493.5384,435.9852,466.3224,410.0616
"Uttar Pradesh",1,32.9616,25.4052,25.4052,24.4944,25.7616
"Uttar Pradesh",2,41.184,125.5608,108.6444,88.5816,88.5816
"Uttar Pradesh",3,890.6076,1080.5796,1179.4176,1352.3868,1673.1648
"Uttar Pradesh",4,5900.6988,5821.578,5773.9824,5597.2152,5315.8644
"Uttar Pradesh",5,466.5132,274.5252,240.1992,264.9708,224.2764
